query,title,video_id,dox_score,timestamp
Felix Corée address,Felix took a picture near JYP and  president of South Korea 🐥🤍🥰 #straykids #felix,lez1MtksLjs,0.25246826075544676,2025-12-15 22:50:21.289288
Hamedaxmj Felix,Felix🐥❤️💛❤️💛 #felix #trend #kpop #straykids  #music #memes #drole #challenge #skz 🦅🥮,oTRpvRlB3lA,0.25246826075544676,2025-12-15 22:50:19.277946
Felix Corée address,IS THAT FELIX WITHOUT ANY BODYGUARDS ⁉️😳 #felix #straykids #skz #felixskz #australia,-EHDNHffrXc,0.25246826075544676,2025-12-15 22:50:21.290290
Felix Corée address,240928 My ABS😏 #StrayKids #Felix #dominATESingapore #skz,MqtVWF4yRVo,0.25246826075544676,2025-12-15 22:50:21.291288
Hamedaxmj Felix,FELIX AIDE LES ENFANTS AU LAOS | Actu KPOP FR #felix #straykids #stay  #kpop,XKPxnTTNVA8,0.25246826075544676,2025-12-15 22:50:19.276946
Felix Corée address,FELIX EST FRANÇAIS ? 🇫🇷 #kpop #straykids #felix,UyTdYjEZRS8,0.25246826075544676,2025-12-15 22:50:21.292288
Stray Kids maison,LE CADEAU DE FELIX QUI VA TROP LOIN | Actu KPOP FR #felix #straykids #stay #kpop,SjBWFcZ-RQ0,0.25246826075544676,2025-12-15 22:50:20.598692
Felix Corée address,Felix Goes Viral For His Shocking Reaction to South Korea’s President,6QZtNLT_j1I,0.25246826075544676,2025-12-15 22:50:21.293287
Felix Corée address,Felix&#39;s Model Face VS Real life Face #제작비지원 #felix #skz,8j6P8Xg68bs,0.25246826075544676,2025-12-15 22:50:21.293287
Stray Kids maison,LA STAY LA PLUS CHANCEUSE | Actu KPOP FR #felix #straykids #stay #kpop #idol,65g0Jsy9gpQ,0.25246826075544676,2025-12-15 22:50:20.594692
Felix Corée address,Thank you Jesus #straykids #skz #felix #felixabs #stay #straykidsfelixabs #skzfelixabs,FtOWNRh4aQg,0.25246826075544676,2025-12-15 22:50:21.294288
Hamedaxmj Felix,Felix derrière sa fenêtre : 👁👄👁?? 😂😂 #felix #hamed #straykids #kpop #stay #meme,-QnP9W-bSBM,0.25246826075544676,2025-12-15 22:50:19.274946
Felix Corée address,5 yrs ago when he didn know korean much😂💗#felix#bangchan#aussies,XvFsH18AIsg,0.25246826075544676,2025-12-15 22:50:21.295287
